2theta,Experimental
37.1401,281.73
37.16,226.76
37.18,130.45
37.1999,369.77
37.2199,195.5
37.2398,95.03
37.2598,243.16
37.2797,267.44
37.2996,195.17
37.3196,148.61
37.3395,222.85
37.3595,285.86
37.3794,225.77
37.3993,278.01
37.4193,202.17
37.4392,144.03
37.4592,11
37.4791,147.82
37.4991,209.14
37.519,310.13
37.5389,247.16
37.5589,272.53
37.5788,327.64
37.5988,307.31
37.6187,211.51
37.6387,161.21
37.6586,238.95
37.6785,283.96
37.6985,286.35
37.7184,291.31
37.7384,326.05
37.7583,282.65
37.7782,213.71
37.7982,224.6
37.8181,208.71
37.8381,247.94
37.858,263.31
37.878,317.14
37.8979,301.06
37.9178,280.85
37.9378,201.55
37.9577,249.33
37.9777,269.93
37.9976,271.69
38.0175,242.12
38.0375,297.99
38.0574,277.46
38.0774,215.65
38.0973,162.03
38.1173,245.69
38.1372,207.17
38.1571,293.35
38.1771,192.86
38.197,192.76
38.217,260.8
38.2369,205.31
38.2569,88.16
38.2768,188.54
38.2967,266.25
38.3167,237.36
38.3366,253.6
38.3566,274.22
38.3765,196.73
38.3964,193.04
38.4164,192.49
38.4363,227.01
38.4563,265.62
38.4762,149.17
38.4962,201.49
38.5161,253.21
38.536,228.48
38.556,160.68
38.5759,197.14
38.5959,299.33
38.6158,271.53
38.6357,267.54
38.6557,299.43
38.6756,295.71
38.6956,241.64
38.7155,193.49
38.7355,247.57
38.7554,261.53
38.7753,239.1
38.7953,313.43
38.8152,307.93
38.8352,245.28
38.8551,279.8
38.8751,304.17
38.895,249.18
38.9149,184.68
38.9349,225.89
38.9548,189.03
38.9748,224.71
38.9947,182.47
39.0146,207.47
39.0346,344.21
39.0545,248.95
39.0745,154.08
39.0944,229.71
39.1144,242.29
39.1343,217.26
39.1542,279.64
39.1742,240.3
39.1941,371.7
39.2141,322.61
39.234,245.15
39.2539,202.32
39.2739,205.69
39.2938,241.64
39.3138,285.46
39.3337,208.45
39.3537,265.47
39.3736,239.28
39.3935,214.78
39.4135,323.53
39.4334,322.88
39.4534,348.7
39.4733,334.53
39.4933,201.45
39.5132,158.66
39.5331,214.2
39.5531,320.15
39.573,226.35
39.593,200.19
39.6129,227.51
39.6328,295.3
39.6528,328.47
39.6727,223.53
39.6927,245.43
39.7126,242.01
39.7326,188.85
39.7525,258.59
39.7724,252.2
39.7924,172.12
39.8123,277.16
39.8323,273.34
39.8522,265.1
39.8721,251.31
39.8921,320.57
39.912,270.84
39.932,328.74
39.9519,228.33
39.9719,229.85
39.9918,218.85
40.0117,262.51
40.0317,222.82
40.0516,316.36
40.0716,276.96
40.0915,323.76
40.1115,231.12
40.1314,320.33
40.1513,262.59
40.1713,234
40.1912,236.36
40.2112,263.63
40.2311,381.11
40.251,256.16
40.271,289.2
40.2909,358.6
40.3109,247.96
40.3308,231.97
40.3508,244.54
40.3707,285.63
40.3906,300.36
40.4106,241.17
40.4305,274.31
40.4505,321.62
40.4704,273.37
40.4904,231.4
40.5103,199.4
40.5302,378.57
40.5502,361.73
40.5701,273.41
40.5901,275.59
40.61,280.92
40.6299,270.67
40.6499,208.33
40.6698,159.02
40.6898,244.75
40.7097,276.06
40.7297,349.23
40.7496,291.19
40.7695,285.05
40.7895,282.35
40.8094,211.55
40.8294,201.72
40.8493,222.06
40.8692,291.48
40.8892,302.87
40.9091,247.9
40.9291,243.97
40.949,313.84
40.969,256.68
40.9889,275.98
41.0088,294.88
41.0288,202.02
41.0487,215.18
41.0687,351.85
41.0886,278.25
41.1086,179.95
41.1285,235.77
41.1484,308.05
41.1684,191.22
41.1883,236.05
41.2083,213.9
41.2282,284.2
41.2481,370.49
41.2681,349.65
41.288,316.75
41.308,213.69
41.3279,319.44
41.3479,292.01
41.3678,340.15
41.3877,322.37
41.4077,335.71
41.4276,213.36
41.4476,198.8
41.4675,252.35
41.4874,211.29
41.5074,253.45
41.5273,384.16
41.5473,306.6
41.5672,333.96
41.5872,235.42
41.6071,180.6
41.627,255.05
41.647,195.59
41.6669,231.04
41.6869,148.12
41.7068,167.2
41.7268,238.29
41.7467,304.07
41.7666,201.68
41.7866,253.39
41.8065,360.46
41.8265,240.29
41.8464,278.9
41.8663,400.83
41.8863,297.39
41.9062,310.56
41.9262,383.65
41.9461,383.86
41.9661,329.78
41.986,357.9
42.0059,264.95
42.0259,206.32
42.0458,205.3
42.0658,332.63
42.0857,358.52
42.1056,323.1
42.1256,411.16
42.1455,277.9
42.1655,349.98
42.1854,401.83
42.2054,263.86
42.2253,239.06
42.2452,280.42
42.2652,349.8
42.2851,308.8
42.3051,340.26
42.325,334.35
42.345,291.45
42.3649,236.18
42.3848,296.49
42.4048,433.16
42.4247,306.71
42.4447,349.48
